dataset,query,material_knowledge,causal_regulation_lookup,pure_regulation_lookup,acquire_image_example
train,不鏽鋼跟鑄鐵鋼有什麼差別啊,1,0,0,0
train,排水有什麼規範嗎,0,0,1,0
train,排水管用 PVC 還是鑄鐵比較好？法規上有差嗎,1,0,1,0
train,可以看一下不鏽鋼水管長什麼樣子嗎,0,0,0,1
train,銅管跟鋁管哪個導熱比較好,1,0,0,0
train,排水系統有什麼法規標準啊,0,0,1,0
train,有沒有 PVC 管安裝的圖片可以參考,0,0,0,1
train,鑄鐵管可以用在哪裡？還有它的特性是什麼,1,0,1,0
train,不鏽鋼耐腐蝕嗎？法規有規定要用什麼材質嗎,1,0,1,0
train,排水系統怎麼裝？有圖可以看嗎,0,0,1,1
train,銅線跟鋁線導電差很多嗎,1,0,0,0
train,電線規格法規有規定嗎,0,0,1,0
train,配電箱要怎麼接線？有圖嗎,0,0,0,1
train,PVC 電線管跟金屬的差在哪,1,0,0,0
train,接地系統有什麼要求,0,0,1,0
train,電線接頭怎麼裝？有範例圖嗎,0,0,1,1
train,熱水管要用什麼材質？法規有說嗎,1,0,1,0
train,電纜的絕緣材料有哪些,1,0,0,0
train,給水系統要用什麼管材？法規有規定嗎,1,0,1,0
train,電路配線有標準圖可以看嗎,0,0,1,1
train,設計的時候，消防水系統要注意什麼,0,1,0,0
train,設計時給排水要用什麼管材？法規有要求嗎,1,1,0,0
train,施工時接地要怎麼做？有什麼規範要遵守嗎,0,1,0,1
train,審查時消防系統的管材跟安裝要檢查什麼？有圖可以看嗎,1,1,0,1
train,設計時空調的冷媒管要用什麼材料？法規有限制嗎,1,1,0,0
train,施工時弱電的線材跟佈線有什麼規範,1,1,0,0
train,審查時給水跟電氣的接地有符合法規嗎？要看什麼文件,1,1,0,1
train,設計時結構的鋼材跟消防的管材有什麼法規要求,1,1,0,0
train,施工時排水管跟電線有什麼要注意的？有圖可以參考嗎,1,1,0,1
train,審查時空調的冷媒管跟給排水的管材有符合設計規範嗎,1,1,0,1
train,設計時電梯機房的電線跟消防的管材有什麼法規要求,1,1,0,0
train,施工時弱電的線材跟給水的管材有符合法規嗎,1,1,0,0
train,審查時消防的管材、電氣的接地、還有空調的冷媒管都有符合規範嗎？有圖可以看嗎,1,1,0,1
train,設計時排煙的風管跟電線規格有什麼法規限制,1,1,0,0
train,施工時給排水管怎麼接？電線怎麼接？有什麼規範？有標準圖嗎,1,1,0,1
train,審查時結構的鋼材、消防的管材、還有電線都有符合法規嗎？有圖可以看嗎,1,1,0,1
train,鋼筋的強度等級有哪些,1,0,0,0
train,混凝土強度要達到多少才符合規範,1,0,1,0
train,請給我看看鋼筋綁紮的標準做法,0,0,0,1
train,設計階段，結構計算需要考慮哪些材料參數,1,1,0,0
train,施工時模板要怎麼選？有什麼規範嗎,1,1,0,0
train,審查時要看模板支撐的示意圖嗎,0,1,0,1
train,防水材料的種類跟特性,1,0,0,0
train,屋頂防水有什麼法規要求,0,0,1,0
train,可以看一下防水層施工的範例嗎,0,0,0,1
train,設計時防水材料要選哪種？法規有規定嗎,1,1,0,0
train,施工時防水怎麼做？有標準圖嗎,0,1,0,1
train,隔熱材料的導熱係數比較,1,0,0,0
train,外牆隔熱有什麼規範,0,0,1,0
train,隔熱層安裝有範例圖嗎,0,0,0,1
train,設計時要選什麼隔熱材料？法規有限制嗎,1,1,0,0
train,施工時隔熱層怎麼裝？有圖可以參考嗎,0,1,0,1
train,審查時隔熱材料有符合規範嗎？要看什麼,1,1,0,1
train,玻璃的種類跟透光率,1,0,0,0
train,窗戶玻璃有什麼安全規範,0,0,1,0
train,想看一下不同玻璃的實物照片,0,0,0,1
train,設計時窗戶要用什麼玻璃？法規有要求嗎,1,1,0,0
train,施工時玻璃安裝要注意什麼？有標準做法嗎,0,1,0,1
train,審查時玻璃規格有符合法規嗎,1,1,0,0
train,門窗五金件的材質差異,1,0,0,0
train,防火門有什麼法規標準,0,0,1,0
train,可以看一下防火門的安裝範例嗎,0,0,0,1
train,設計時防火門要選什麼規格？法規有規定嗎,1,1,0,0
train,施工時防火門怎麼裝？有標準圖嗎,0,1,0,1
train,審查時防火門有符合規範嗎？要看什麼文件,1,1,0,1
train,瓷磚跟石材的差異,1,0,0,0
train,外牆瓷磚有什麼規範,0,0,1,0
train,想看一下不同瓷磚的樣品,0,0,0,1
train,設計時外牆要用什麼材料？法規有要求嗎,1,1,0,0
train,施工時瓷磚怎麼貼？有標準做法圖嗎,0,1,0,1
train,審查時外牆材料有符合法規嗎,1,1,0,0
train,油漆的種類跟特性,1,0,0,0
train,室內油漆有什麼環保規範,0,0,1,0
train,可以看一下不同油漆的色卡嗎,0,0,0,1
train,設計時要選什麼油漆？法規有限制嗎,1,1,0,0
train,施工時油漆怎麼刷？有標準流程圖嗎,0,1,0,1
train,審查時油漆有符合環保規範嗎,1,1,0,0
train,樓梯扶手的材質選擇,1,0,0,0
train,樓梯扶手高度有什麼規範,0,0,1,0
train,想看一下樓梯扶手的安裝範例,0,0,0,1
train,設計時樓梯扶手要用什麼材質？法規有規定嗎,1,1,0,0
train,施工時扶手怎麼裝？有標準圖嗎,0,1,0,1
train,審查時扶手高度有符合規範嗎,0,1,0,0
train,欄杆的材質跟強度,1,0,0,0
train,陽台欄杆有什麼安全規範,0,0,1,0
train,可以看一下欄杆的安裝示意圖嗎,0,0,0,1
train,設計時欄杆要選什麼材質？法規有要求嗎,1,1,0,0
train,施工時欄杆怎麼做？有標準做法嗎,0,1,0,1
train,審查時欄杆強度有符合法規嗎,1,1,0,0
train,電梯鋼索的材質特性,1,0,0,0
train,電梯安全有什麼法規,0,0,1,0
train,想看一下電梯機房的配置圖,0,0,0,1
train,設計時電梯要用什麼規格？法規有規定嗎,1,1,0,0
train,施工時電梯怎麼安裝？有標準流程圖嗎,0,1,0,1
train,審查時電梯有符合安全規範嗎,1,1,0,0
train,空調主機的種類跟效率,1,0,0,0
train,空調系統有什麼節能規範,0,0,1,0
train,可以看一下空調主機的安裝範例嗎,0,0,0,1
train,設計時空調要選什麼規格？法規有要求嗎,1,1,0,0
train,施工時空調怎麼裝？有標準圖嗎,0,1,0,1
train,審查時空調效率有符合規範嗎,1,1,0,0
train,通風管的材質跟風阻,1,0,0,0
train,通風系統有什麼法規標準,0,0,1,0
train,想看一下通風管的配置圖,0,0,0,1
train,設計時通風要用什麼材質？法規有規定嗎,1,1,0,0
train,施工時通風管怎麼接？有標準做法嗎,0,1,0,1
train,審查時通風系統有符合法規嗎,1,1,0,0
train,消防灑水頭的種類,1,0,0,0
train,消防系統有什麼法規,0,0,1,0
train,可以看一下消防灑水頭的安裝圖嗎,0,0,0,1
train,設計時消防要用什麼規格？法規有要求嗎,1,1,0,0
train,施工時消防管怎麼裝？有標準圖嗎,0,1,0,1
train,審查時消防系統有符合規範嗎,1,1,0,0
train,監控系統的線材規格,1,0,0,0
train,監控系統有什麼規範,0,0,1,0
train,想看一下監控系統的配置示意圖,0,0,0,1
train,設計時監控要用什麼線材？法規有規定嗎,1,1,0,0
train,施工時監控線怎麼佈？有標準做法嗎,0,1,0,1
train,審查時監控系統有符合法規嗎,1,1,0,0
train,門禁系統的設備規格,1,0,0,0
train,門禁系統有什麼安全規範,0,0,1,0
train,可以看一下門禁系統的安裝範例嗎,0,0,0,1
train,設計時門禁要選什麼設備？法規有要求嗎,1,1,0,0
train,施工時門禁怎麼裝？有標準圖嗎,0,1,0,1
train,審查時門禁系統有符合規範嗎,1,1,0,0
train,停車場地坪的材質選擇,1,0,0,0
train,停車場有什麼法規要求,0,0,1,0
train,想看一下停車場地坪的施工範例,0,0,0,1
train,設計時停車場要用什麼地坪？法規有規定嗎,1,1,0,0
train,施工時地坪怎麼做？有標準做法圖嗎,0,1,0,1
train,審查時停車場有符合法規嗎,1,1,0,0
train,無障礙設施的材質要求,1,0,1,0
train,無障礙設計有什麼規範,0,0,1,0
train,可以看一下無障礙坡道的設計圖嗎,0,0,0,1
train,設計時無障礙設施要怎麼設計？法規有要求嗎,1,1,0,1
train,施工時無障礙設施怎麼做？有標準圖嗎,0,1,0,1
train,審查時無障礙設施有符合規範嗎,1,1,0,0
train,今天天氣怎麼樣,0,0,0,0
train,推薦幾本好看的書,0,0,0,0
train,怎麼做義大利麵,0,0,0,0
train,台北到高雄要多久,0,0,0,0
train,Python 怎麼寫迴圈,0,0,0,0
train,明天會下雨嗎,0,0,0,0
train,最近有什麼好看的電影,0,0,0,0
train,如何減肥,0,0,0,0
train,股票今天漲多少,0,0,0,0
train,怎麼學英文比較快,0,0,0,0
train,推薦好吃的餐廳,0,0,0,0
train,現在幾點了,0,0,0,0
train,如何申請信用卡,0,0,0,0
train,什麼是人工智慧,0,0,0,0
train,怎麼煮白飯,0,0,0,0
train,台北101有多高,0,0,0,0
train,如何訓練狗狗,0,0,0,0
train,最近有什麼新聞,0,0,0,0
train,怎麼保養皮膚,0,0,0,0
train,推薦好聽的音樂,0,0,0,0
train,如何投資理財,0,0,0,0
train,什麼是區塊鏈,0,0,0,0
train,怎麼泡茶,0,0,0,0
train,台灣有多少人口,0,0,0,0
train,如何選擇手機,0,0,0,0
train,最近有什麼展覽,0,0,0,0
train,怎麼做運動,0,0,0,0
train,如何學習程式設計,0,0,0,0
train,推薦旅遊景點,0,0,0,0
train,什麼是機器學習,0,0,0,0
train,怎麼照顧植物,0,0,0,0
train,如何準備考試,0,0,0,0
train,推薦好看的電視劇,0,0,0,0
train,怎麼寫履歷,0,0,0,0
train,什麼是雲端運算,0,0,0,0
test,鋁合金跟不鏽鋼的強度比較,1,0,0,0
test,給水系統的法規標準有哪些,0,0,1,0
test,施工階段，空調風管要用什麼材料？規範有要求嗎,1,1,0,0
test,想看一下電梯鋼索的實物照片,0,0,0,1
test,鋁合金窗框跟塑鋼窗框哪個比較好？法規上有什麼差異,1,0,1,0
